created_at,full_text,location,text_translated,sentiment_score,sentiment
Thu Oct 24 15:02:13 +0000 2024,@goeslyllaz cara masak: - masukan minyak goreng - goreng,,goeslyllaz How to cook Insert fried oil fry,0.0,Neutral
Thu Oct 24 13:46:06 +0000 2024,Premis tular sorok minyak masak diserbu tiada lesen jual barang kawalan https://t.co/Oc3F5LZnLz #Negara #kpdn #minyakpaket #premis #serbu,Malaysia,The premise of the hide of cooking oil is invaded No License Sale of Controls negara kpdn minyakpaket premis serbu,-0.4404,Negative
Thu Oct 24 13:22:37 +0000 2024,@RadziJidin Ape punye sampah ko hujah2 setakat tabur2 men sentimen baek pegi jahanam. Zaman ko dulu telur pon xde minyak masak 40+ sebotol. Ko pon baghal mcm unta. Ko yg x faham pastu kata dibelit2.,"Kuala Lumpur, Malaysia",Radzijidin ape punye trash I argue2 a far a sprinkling2 sentiment baek pegi jahanamI used to have a 40 bottle of cooking oilKo pon baghal mcm camelKo who understands the word of the word,0.0,Neutral
Thu Oct 24 12:55:52 +0000 2024,KPDN serbu premis sorok minyak masak di Bandar Tropicana Aman #BHNasional Serbuan dilakukan oleh anggota penguat kuasa KPDN Selangor Isnin lepas susulan video tular di media sosial berkaitan seorang peniaga yang dikatakan menyorok bekalan minyak masak. https://t.co/EaK654rBVQ,Malaysia,The KPDN KPDN Cooking Oil Premises In Tropicana City Safe Bhnational The raid wa carried out by the Selangor KPDN enforcement personnel on Monday following a video on social medium related to a trader who allegedly hidden cooking oil,0.4404,Positive
Thu Oct 24 12:47:43 +0000 2024,- Masukkan bumbu dalam panci berisi ayam rebus lalu masak hingga mendidih dan matang jangan lupa untuk mengkoreksi rasa jika sudah sesuai masukkan tahu putih juga santan instan. Masak hingga santan keluar minyak.,,Put the seasoning in a pan containing boiled chicken and cook until boiling and mature do not forget to taste the taste if it is good to put in white a well a instant coconut milkCook until coconut milk come out,0.8159,Positive
Thu Oct 24 12:47:14 +0000 2024,Cara Membuat - Marinasi ayam dengan perasan jeruk nipis cuci bersih kemudian rebus dalam air mendidih masak hingga ayam empuk. Siapkan bumbu halus kemudian blender lalu tumis dalam minyak semua bumbu halus &amp;bumbu aromatik hingga wangi.,,How to make marination of chicken with a clean lime wash then boil in boiling water until chicken is tenderPrepare a delicate seasoning then the blender and saut in the oil of all delicate seasoning amp aromatic seasoning to fragrant,0.4767,Positive
Thu Oct 24 12:38:11 +0000 2024,@MrArchiDaily Masalahnya minyak je murah tu pon fakror sekatan pergerakan yang oelik harga minyak masak naik,,Mrrrarchidaily The problem is that the oil is cheap and the Fakror Movement Restrictions that the price of cooking oil price rise,-0.4019,Negative
Thu Oct 24 12:24:20 +0000 2024,@izz_shaaaaa Knp dia tak tunjuk harga minyak masak masa PN jadi kerajaan? Sbb yg simpan minyak tu anak menteri PN ke? Musibat punya perangai. Bangang betul,,izzshaaaaa why did he not show the price of cooking oil during the governmentAs the oil save is the son of the ministerThe curse ha a temperBangs are right,0.2732,Positive
Thu Oct 24 12:09:00 +0000 2024,Penat2 masak smpai kne minyak pns..dia NK merajuk pulak X NK mkn..penat la Aku NK Lyn DH tua2 perangai cmni..Aku mati agknya bru senang hati dia,"Johor, Malaysia",Tired of cooking smpai kne oil pnshe nk sulk pulak x nk mknpenat la aku nk lyn dh old man2 cmniI am dead,-0.802,Negative
Thu Oct 24 12:07:24 +0000 2024,#Putrajaya KPDN menyerbu sebuah premis yang beroperasi di Bandar Tropicana Aman Telok Panglima Garang Selangor yang didapati menjual barang kawalan seperti gula minyak masak dan gas LPG dan barangan runcit lain tanpa memilik lesen runcit barang kawalan berjadual yang sah ,Malaysia,Putrajaya KPDN raided a premise operating in the city of Tropicana Safe Telok Panglima Selangor who wa found to sell control item such a cooking oil and LPG gas and other grocery without owning a valid scheduled retail license,0.4404,Positive
Thu Oct 24 11:22:55 +0000 2024,@afiq_kisei @MrArchiDaily Kan.. sebab india sekat. Walaun ni mna nk paham.. yg dia paham anak menatu sorok minyak masak ja.. ,05200↔️ANFIELD↔️43650,afiqkisei mrrarchidaily kan because india blockI dont know he understands the child to hide the cooking oil,-0.1779,Negative
Thu Oct 24 10:58:30 +0000 2024,@MrArchiDaily Buang masa layan walaun bodoh ni. Minyak masak 5kg pun dah rm50 zaman PN nak cari subsidi kena rembat dgn anak hamzah. Mmg jilake puak walaun ni.,"Rawang, Selangor",Mrrrarchidaily wasted time of this stupid no5kg cooking oil is RM50 in time to find subsidy with hamzah childrenMmg jilake tribe walaun ni,-0.802,Negative
Thu Oct 24 10:54:24 +0000 2024,Premis sorok minyak masak subsidi jual kepada pelanggan tertentu diserbu Azman berkata hasil pemeriksaan mendapati premis di Telok Panglima Garang itu menjual barang-barang kawalan tanpa mempunyai lesen runcit barang kawalan berjadual yang sah. #sinarharian #Sorok,Malaysia,The premise of cooking oil subsidy sell to certain customer raided by Azman said the inspection found that the premise at Telok Panglima Garang sold control item without a valid scheduled retail licensesinarharian sorok,0.2732,Positive
Thu Oct 24 10:20:09 +0000 2024,Premis tular sorok minyak masak rupanya tiada lesen sah jual barang kawalan https://t.co/0xZK6P6vuR,"Jalan Riong, Bangsar, KL",The premise of the cooking oil is not a valid license to sell the control item,0.0,Neutral
Thu Oct 24 10:15:09 +0000 2024,@undipmfs sama jing udah gua tempelin gausah naro minyak didapur (milik pribadi jadinya ngotorin dapur dan bikin minyakan) tetep ae emang tolol padahal kan sehabis masak bisa gitu lhoo ditaruh dikamar sendirii,,undipmfs is the same a the cave of the naro oil in the kitchen privatized by the kitchen and making it,0.0,Neutral
Thu Oct 24 10:11:47 +0000 2024,@BuletinTV3 Nak perang besar-besaran tapi minyak masak pun tak cukup.,,BulletIntv3 want a big war but not enough cooking oil,-0.3182,Negative
Thu Oct 24 09:25:36 +0000 2024,@fairuz_azmi83 Unfortunately kepala bana. Masa geng kalian jadi kerajaan harga minyak masak rm50 sebotol. Itu kira fortunate ke macamana? Bodoh walaun ni tak boleh pertikai lansung.,"Perak, Malaysia",fairuzazmi83 unfortunate headYour gang time is the government price of RM50 a bottle of oilIs that a factunateThis stupid stupid can not be quite quite,-0.8689,Negative
Thu Oct 24 09:09:19 +0000 2024,@MrArchiDaily Minyak murah masa PKP sebab masa tu harga minyak 30 dollar per barrel. Harga minyak kat pam kan mengikut pasaran global. Harga barang meningkat masa PKP tu setakat aku belajar berkaitan inflasi penawaran permintaan dan sembunyi minyak masak. Itu je.,"Xenia, OH",Mrrrarchidaily cheap oil time CPP due to 30 dollar oil price per barrelOil price in the pump are in the global marketThe price of the good increased during the CPP a far a I learned about the supply of demand for demand and hiding cooking oilThats it,0.2023,Positive
Thu Oct 24 09:06:08 +0000 2024,@MrArchiDaily Nasib baik.. ingtkan minyak masak tadi.. Oopps..,"Kulim, Kedah",Mrarchidaily good luck remember cooking oil earlier oopps,0.7096,Positive
Thu Oct 24 09:01:01 +0000 2024,@MrArchiDaily Masa PKP minyak masak mahal bukan sebab PKP https://t.co/dWOlJdZRVF,Kuala Lumpur,Mrrrarchidaily time PKP expensive cooking oil is not because of PKP,0.0,Neutral
Thu Oct 24 08:46:53 +0000 2024,@SaifulAdn ELOK KEMBALIKAN MINYAK MASAK YG HILANG DAN HARGA MINYAK MASAK RM50 BOTOL BESAR,,Saifuladn Best of returning the missing cook oil and the price of the RM50 Bottle Cooking Oil,0.4588,Positive
Thu Oct 24 08:43:49 +0000 2024,@MrArchiDaily Minyak petrol tak kena sorok. Minyak masak dengan telur kena sorok. Cirit yang sorok. HAHAAHAHAHAAH,,Mrrrarchidaily petrol is not hidingCooking oil with egg is hidingDiarrheaHahaahahahaah,0.0,Neutral
Thu Oct 24 08:42:09 +0000 2024,@saythenameayy Tak pernah lagi sepanjang hidup aku tulis.. harga barang di jangka turun tahun depan.. kecuali harga barang kawalan ja yg ada penurunan jugak contoh macam minyak masak zaman sebelum rm 46.99 /5kg sekarang 27.90 sen /5 kg..sesuai dgn saiz ekonomi dan kenaikan gaji asas pekerja..,,saythenameyy ha never been the rest of my life Price of good is down next year except for the price of control and there is a decrease in the example of cooking oil before RM 4699 5kg now 2790 cent 5 kg economy and rise in basic salary of worker,0.6486,Positive
Thu Oct 24 08:30:44 +0000 2024,2. Masukkan minyak goreng masak hingga setengah kering lalu masukkan bawang merah masak hingga kering dan kecokelatan https://t.co/14w1nSQ7oG,Indonesia,2 Add cooked fried oil until half dried and add onion cooked until dry and tasty,0.0,Neutral
Thu Oct 24 08:30:31 +0000 2024,@MrArchiDaily gila @MrArchiDaily? Satu dunia harga murah. Harga 2020 sama dengan harga 1998 &amp; 1970. Zaman PN harga minyak masak yg paling mahal. Yes peak harga palm oil pd Mac 2022. Tp lepas tu xturunkan pon harga. Bahkan harga skrang lagi dpd Apr-Okt 22. Tp harga jualan masih murah https://t.co/RWDBpqGHsf,,Mrrrarchidaily crazy mrrarchidailyA world of cheap pricePrice 2020 is equal to 1998 amp1970 The most expensive cooking oil priceYes Peak Price Palm Oil in March 2022Even the price of the score again on AprOct 22 But the sale price is still cheap,-0.1779,Negative
Thu Oct 24 08:30:08 +0000 2024,Cara membuat: 1. Untuk minyak kulit ayam panaskan wajan masukkan kulit ayam dan air masak hingga sedikit menyusut lalu gunting-gunting masak hingga menyusut https://t.co/y59lFqyJp5,Indonesia,How to Make 1 For chicken skin oil Heat a powder add chicken skin and cooked water until slightly shrink and scissors cook until it shrink,0.0,Neutral
Thu Oct 24 07:45:46 +0000 2024,@MrArchiDaily Eh bodoh. Masa pkp org xmakan petrol. Tp minyak masak org nk buat masak bahlol,Wilayah Persekutuan Kuala Lump,Mrrrarchidaily eh stupidPKP time is gasolineBut cooking oil to cook bahlol,0.0,Neutral
Thu Oct 24 07:21:58 +0000 2024,@MrArchiDaily Seingat aku minyak masak 5kg 50 rm la masa abah tu hu hu blom lg yg lain2 daging lokal pun mahal ayam telor pun hilang depa x reti jaga negara pun,,Mrrrarchidaily I think I cook 5kg 50 RM la harness that hu hu blom lg other local even expensive chicken egg are lost before,-0.3182,Negative
Thu Oct 24 07:05:40 +0000 2024,Harini masak ikan kicap tenggiri + bayam rebus + panaskan sup ayam semalam + timun Jepun + sambal campak campak Goreng kentang ikan bilis dan terung. Tumbuk lumat cili api dengan bawang putih + merah. Tumis dan letak sos tiram dan letak sedikit minyak bijan. https://t.co/TGShCw7ahD,,Today cooked soy sauce spinach heat chicken soup last night Japanese cucumber sambal measles fried fish potato and eggplantPour chili fire with garlic redSaute and place oyster sauce and put some sesame oil,-0.34,Negative
Thu Oct 24 06:15:54 +0000 2024,@mkini_bm Pagi proses minyak masak.. ptg hilang kena sorok layan jer lah.. ,,mkinibm morning cooking oil process,0.0,Neutral
Thu Oct 24 06:05:15 +0000 2024,Urab anyone? Murah meriah. Kelapa parut 1 ons Bayam 1/2 ikat Labu siam 1 Buncis 5 Toge sejumput Wortel 1/2 Kol 2 lembar Rawit 1 Daun salam lengkuas minta tetangga Kencur baput ambil dari bumbu seblak Gas minyak buat numis alat masak ada stock di dapur Udah selamat makan! https://t.co/4ttjYZz6Yp,,Urab anyoneCheap cheapGrated coconut 1 ons spinach 12 Siam pumpkin 1 bean 5 toge a piece of carrot 12 col 2 sheet 1 leaf greeting ask for a snack for a slice of grilled out of the seasoning of oil oil for the cooking tool there is a stock in the kitchen to eat safe,0.6705,Positive
Thu Oct 24 05:56:57 +0000 2024,@Nazril_Iznil Larh sama ja geng walanon pun duk banding harga minyak masak zaman darurat &amp; pkp dgn zaman lani. 2x5 ja mahacai politik setiap blok,"Dallas, TX",Nazriliznil is the same a the Walanon gang and the price of the Emergency Cooking Oil Price ampPKP with the Lani era2x5 ja politics per block,-0.6705,Negative
Thu Oct 24 03:53:16 +0000 2024,Aku tengok dia scoop butter macam nak masak nasik minyak satu kawah pun aku dah tau takkan menjadi hahahaha,🇲🇾,I saw him scoop butter like to cook a crater oil oil I already knew it wouldnt be hahahaha,0.4767,Positive
Thu Oct 24 03:34:49 +0000 2024,@imjustgirlx Masak telor minyak nya seliter,Indonesia,imjustgirlx cooked oil egg a liter,0.0,Neutral
Thu Oct 24 03:10:48 +0000 2024,Cubaan warga asing untuk menyeludup minyak masak peket 1kg tumpas selepas ditahan KPDN di Kompleks Imigresen Kastam Kuarantin dan Keselamatan ICQS Bukit Berapit. https://t.co/IQm7oOxTFD 'Yang sahih di Berita RTM' #RTM #BeritaRTM #MalaysiaMADANI #TaatSetia https://t.co/0Y9B4InYt8,,Foreigners attempt to smuggle 1kg pack of cooking oil after being detained by the KPDN at the Bukit Berapit ICQS Customs and ICQS Security Complex in the news rtm rtm beritartm malaysiamadani taatsetia,-0.4404,Negative
Thu Oct 24 03:05:10 +0000 2024,Cubaan seludup 80 peket minyak masak ke Thailand gagal KPDN tahan dua lelaki Thailand cuba seludup minyak masak peket di ICQS Bukit Berapit. #SinarHarian #minyakmasak https://t.co/3TXnqFjcc2,Malaysia,80 packet of cooking oil to Thailand failed KPDN to hold two Thai men trying to smuggle the packet cooking oil at ICQS Bukit BerapitSinarharian minyakmasak,-0.7096,Negative
Thu Oct 24 02:46:27 +0000 2024,Pandai pulak kau gunakn harga minyak per barrel ketika itu Harga minyak sawit &amp; jagung pun melambung tinggi pasca covid sehingga menyebabkan harga minyak masak dan ayam melambung naik. Tapi ia dijadikn alat propaganda jahat kau juga kn Alhamdulillah merasa juga pakai ron97,,You know how to use oil price per barrel at that time palm oil price ampThe corn is high in post covid high ups causing the price of cooking oil and chicken to riseBut it is a bad propaganda tool you are also thankful that you also feel RON97,-0.2023,Negative
Thu Oct 24 02:37:39 +0000 2024,@PejuangPH Sebab tu dapat anak kaki sebat sabsidi minyak masak,,Pejuangph because it can get the kid to cook the cooking oil,0.0,Neutral
Thu Oct 24 01:48:52 +0000 2024,Itu minyak masak atau minyak hitam kereta? https://t.co/tQK1MrX3uo,"Seoul , Korea 🇰🇷",Its cooking oil or car black oil,0.0,Neutral
Thu Oct 24 01:20:01 +0000 2024,Tangkapan meibatkan individu yang disyaki cuba menyeleweng minyak masak peket 1kg untuk dibawa ke Thailand melalui pintu keluar ICQS Bukit Berapit. Syabas! #MalaysiaMADANI https://t.co/dUzhSz2WEk,Kuala Lumpur,The arrest involves individual who are suspected of trying to deviate the 1kg pack of cooking oil to be taken to Thailand through the Bukit Berapit ICQS exitWell doneMalaysiamadani,-0.5106,Negative
Thu Oct 24 01:18:39 +0000 2024,Tangkapan meibatkan individu yang disyaki cuba menyeleweng minyak masak peket 1kg untuk dibawa ke Thailand melalui pintu keluar ICQS Bukit Berapit. Syabas! #MalaysiaMADANI https://t.co/dUzhSz2WEk,Kuala Lumpur,The arrest involves individual who are suspected of trying to deviate the 1kg pack of cooking oil to be taken to Thailand through the Bukit Berapit ICQS exitWell doneMalaysiamadani,-0.5106,Negative
Thu Oct 24 01:05:34 +0000 2024,Cubaan seludup 80 peket minyak masak 1kg https://t.co/jM6UdRfIOv #Terkini #kpdn #Minyakpeket1kg #Seludup #wargathailand,Malaysia,80 packet of cooking oil 1kg terkini kpdn oilpeket1kg seludup wargathailand,0.0,Neutral
Thu Oct 24 00:54:58 +0000 2024,@diyasprdn Masak dadar ae akeh pritilan e. Wajan sutil mangkok piring sendok garpu buat makan garpu buat ngocok minyak goreng garam. Dadi ne sak lep an. Wkwkkwwk,"Bangkok Noi, Bangkok",diyasprdn cook ae akeh pritial eWajan Sutil Snakes fork for fork to shake salt fried oilsDadi ne sak lep anWkwkkwwk,-0.1779,Negative
Thu Oct 24 00:42:47 +0000 2024,@hobibooza fight op please.. we need nasi minyak ayam masak merah ‍,Malaysia,hobibooza fight op please We need red rice cooked rice,-0.0772,Negative
Wed Oct 23 22:39:29 +0000 2024,@aishastraphobia Tapi.. Tapi.. Masak sendiri lebih sihat. Kita le control jumlah minyak kadang beli luar minyak yg dah pakai rotate buat tumis 1 lg kualiti brg kita beli. Cuma kalau bab baking beli mmg lebih untung sebab barang baking mahal bila beli sket,,aishastraphobia But But Cook yourself healthierWe control the amount of oil sometimes buying outside oil that are rotate to saute 1 more quality we buyOnly if the baking thing is to buy more profit because baking good are expensive when buying sketch,0.8458,Positive
Wed Oct 23 21:56:08 +0000 2024,@Solisidtor Bodoh apa ko ni? Subsidi minyak masak tepung beras gula ditarik zaman sapa? Najib la. Ko belum lahir ke masa tu?,"Rawang, Selangor",Solisidtor what is thisSubsidies of cooked rice flour oil are drawn in timeNajib laI havent been born yet,0.0,Neutral
Wed Oct 23 21:55:10 +0000 2024,Cara Membuat: -Kocok telur dengan tepung beras &amp; air lalu masukkan bahan-bahan lainnya aduk rata. -Panaskan minyak dalam wajan setelah minyak benar-benar panas masukkan kocokan telur. Masak sampai matang Selamat mencoba,,How to Make Eggs with rice flour ampWater and add the other ingredientsHeat the oil in the wajan after the oil is really hot add the eggsCook until mature is safe to try,0.6908,Positive
Wed Oct 23 21:53:38 +0000 2024,@royston993 @saythenameayy minyak.masak kena samun,Johore,royston993 saythenenenayyy oil,0.0,Neutral
Wed Oct 23 17:18:12 +0000 2024,@Basebiruofc Sendernya masak apaan bjir minyak goreng doangan? Aowkwkwk,,Basebiruofc Sender is cooking what is the fried oilAowkwkwk,0.0,Neutral
Wed Oct 23 15:41:01 +0000 2024,@TVPertiwi_MY Kalau anak sendiri pun kaki sakau minyak masak subsidi.. mesti belajar sakau dari bapaknya.,"Rawang, Selangor",Tvgiwimy if your own child is a leg of a subsidy cooking oil must learn from his father,0.0,Neutral
Wed Oct 23 15:28:18 +0000 2024,@ItsMe_Miaaaaaa Murni tu nama minyak masak. Seri murni heheh,Shah Alam,Itsmemiaaaaaa pure is the name of the cooking oilPure series heheh,0.0,Neutral
Wed Oct 23 15:27:46 +0000 2024,@spacewonderers @rafiziramli Harga ayam turun. Harga minyak masak turun. Kesian macai,,spacewonderers rafiziramli Chicken price are downCooking oil price go downPoor Macai,0.0,Neutral
Wed Oct 23 15:16:53 +0000 2024,@SaifulAdn Kesan pakai minyak masak zaman pkp rasanya ,"Kelantan, Malaysia",Saifuladn The effect of using CPP cooking oil,0.0,Neutral
Wed Oct 23 14:51:12 +0000 2024,@SaifulAdn jual kat dia harga minyak masak harga PKP dulu,,Saifuladn Sell it to the price of cooking oil price first,0.0,Neutral
Wed Oct 23 14:50:43 +0000 2024,@convomf Kasih minyak bekas masak udangnya mba biar ngerasain juga hahahahahaha,,convomf love oil cooked shrimp MBA let it also be hahahahahaha,0.6369,Positive
Wed Oct 23 14:28:44 +0000 2024,Aku ngn laki aku pelik sbb bila tgk stock minyak masak tu xde yg paket pun. Ada yg botol je. Next week try tgk lagi kot kot ada kan..tp still takde. Try tnya cashier ada yg paket tak cashier mcm slow je jawab takde sambil senyum serbasalah gtu. Aku pandang je lahhhhhhhh.,,I am a weird man when it come to the stock of cooking oilTheres a bottleNext week try not to see more coattp still notTry tnya cashier there is a package of cashier mcm slow je answer no while smiling gtuI look at it,-0.6575,Negative
Wed Oct 23 13:52:08 +0000 2024,@update11111 Bergaduh sbb tk dpt beli minyak sepeket berkotak kotak lettuw. Member baru balik nak masak briyanu,#TheArtOfFadd ⛩️,Update11111 Fighting a it can not buy oil boxed boxesNew member return to cook briyanu,-0.3612,Negative
Wed Oct 23 13:16:32 +0000 2024,- Tetap menggunakan api kecil masak hingga warnanya lebih gelap dan minyak terpisah. Tambahkan garam merica dan kaldu. Ini bisa lebih gelap dan hitam lg sebenarnya.,,Keep using small heat until the color is darker and the oil is separateAdd merica salt and brothThis can be darker and black actually,0.0,Neutral
Wed Oct 23 13:16:07 +0000 2024,- Masukkan air asam dan minyak sekitar 100 ml. Masak hingga kecoklatan masaknya dgn api kecil ya agar tidak gosong. Setelah kecoklatan masukkan kelapa sangrai.,,Add acid and oil around 100 mlCook until browned cooked on low heat to avoid itOnce the brown is entered the coconut,-0.5106,Negative
Wed Oct 23 13:07:40 +0000 2024,@titm_official Minyak masak murah je,"Putrajaya, Putrajaya Federal T",titmofficial cheap cooking oil,0.0,Neutral
Wed Oct 23 13:00:20 +0000 2024,@titm_official Harga ayam telur ikan daging dan minyak masak lebih murah berbanding zaman PN. Beras tempatan tak ada? Takpa beli beras import. Ya lebih mahal tapi diimbangkan dengan barangan asas lain yang lebih murah. Zaman PN? Semua mahal.,,titmofficial Chicken Egg Egg Price and Cooking Oil is cheaper than PnNo local riceDont buy imported riceYes more expensive but balanced with other basic itemsPn timeAll expensive,0.0,Neutral
Wed Oct 23 07:14:47 +0000 2024,@Solisidtor Minyak masak murah ayam pon makin murah,,Solisidtor cheap cooking oil chicken pound are cheaper,0.0,Neutral
Wed Oct 23 06:34:41 +0000 2024,@MALAYSIAVIRALLL @KPDN_HQ Blacklist kn lesen niaga dan bawa naik court. Ramai yg susah x dpt akses kpd minyak masak ni kerana byk disembunyikn. Kadang2 di agihkn kpd peniaga2 restoran.,?,Malaysiaaviralll kpdnhq blacklist kn business license and take the courtMany are hard to get access to this cooking oil because they are hiddenSometimes it is distributed to restaurant trader,-0.1027,Negative
Wed Oct 23 06:20:41 +0000 2024,@equanimiety ㅤ Kalo medianya penggorengannya minyak memang harus banyak kalo ga banyak nanti kerupuknya gabisa ngembang. Yang ngomelin ga pernah masak kerupuk tuh. ㅤ,Hand by LEON,equanimiety If the medication of the oil is a lot of oil it should be a lot if it is a lot of GABISA to growThe nakelin ha never cooked the crumb,0.34,Positive
Wed Oct 23 06:17:31 +0000 2024,@Solisidtor Syukur alhamdulillah dgn pemerintahan skrg.. klu tidak mcm2 la kena sakau.. minyak masak pun kena balun.. ekonomi mmg ke laut dalam la,,Solisidtor thank God for the current government I need not mcm2 it get sakau cooking oil ha to be balloon economy in the deep sea,0.7184,Positive
Wed Oct 23 06:09:24 +0000 2024,@f4kr0ls00d Tadah tangan epal jatuh dari langit ... aku ingat minyak masak 50tan jatuh atas kepala Hamzah ...,,f4kr0ls00d The apple hand fall from the sky I remember the 50tan cooking oil fell on Hamzahs head,0.4939,Positive
Wed Oct 23 06:01:45 +0000 2024,Yes!! Skrg grocery mahal nye bawangg mahal minyak masak mahal ,,Yes Now expensive grocery is expensive cooking oil,0.4019,Positive
Wed Oct 23 05:27:18 +0000 2024,Hmm abis itu tumis bawang putih sama bombay minyak dikit aje. Sampai wangi sampai tetangga lu bertanya-tanya Masak apa dia hari ini? Gitu.,221B. Baker Street.,Hmm then it is sauted garlic with bombay oilUntil fragrant until you wonder what he cook todayThats it,0.0,Neutral
Wed Oct 23 05:21:26 +0000 2024,@Solisidtor Dia hutang untuk sakau minyak masak,your heartache ,Solisidtor him debt for cooking oil,-0.3612,Negative
Wed Oct 23 05:09:08 +0000 2024,Lagi berusaha mengurangi perminyakan duniawi di makanan tapi susah ye bok. Lately masak sendiri minyak pake minyak zaitun. Pakenya pun dikit aja.,"ÜT: -6.2191361,106.8700563",Are trying to reduce the world food but it hard to findLately cook your own olive oil oilThe only thing is that it is,-0.1531,Negative
Wed Oct 23 04:51:06 +0000 2024,@Solisidtor @farhanzulkefly Org ingat zaman tebuk atap PkP Separuh masak minyak mahal Parlimen ttup sbb tkde telo,,Solisidtor farhanzulkefly org remember the time of the roof of the pkp half cooked the expensive oil parliamentary,0.0,Neutral
Wed Oct 23 04:45:09 +0000 2024,Ampa beli brg masak tahan 2-3 hari saja ka Hmm let say la ayam tu tak cukup utk 2w. Ok fair. Ayam seminggu ni kecik dpt 12 ok dah utk seminggu. 24 utk 2 minggu. Haa tambah rm9 ja. Still lower than beli. Bahan minyak kicap sos apa semua tu beli sekali sekala ja.,Celestia,I just buy it for 23 day and just let say the chicken is not enough for 2wOk fairThis week chicken can be 12 ok for a week24 for 2 weeksHaa added RM9 jaStill lower than buyWhat sauce soy sauce is all buy once in a while,0.0,Neutral
Wed Oct 23 04:40:38 +0000 2024,Already calculated before. Family of 2 memang jimat but 3 and above baik masak sendiri. Ini kalau pikir hal jimat jelah. Kalau pikir hal lain contohnya masak sendiri lagi sihat sebab kurang garam minyak etc and makanan lagi sedap memang clear winner dah,Malaysia,Already calculated beforeFamily of 2 is a good but 3 and above good cookThis is if you think about itIf you think about other thing like cooking yourself because they have less oil etc and the food is delicious,0.9337,Positive
Wed Oct 23 04:35:53 +0000 2024,Gue sih terserah yah mau lu masak nugget sampe masak kepiting plus rendang juga bodo amat. TAPI PLEASE DIBERSIHIN! Jangan alat masak pabalatak minyak tumpah ga dilap tepung bececeran sampah dimana-mana gitu. Mau gue aduin ke bu kos,"Seoul, Republic of Korea",I want to cook nugget until they cook crab plus shrimp tooBut please cleanDo not cook oil spilled oil and apply trash flour anywhereWant to Gue Aduin to BU Cost,0.3818,Positive
Wed Oct 23 04:16:17 +0000 2024,@malaysiakini Anak ko pun curi sorok minyak masak. Bapak sial anak pelancau,,malaysiakini my son stole cooking oilDaddy Dam,0.0,Neutral
Wed Oct 23 04:04:59 +0000 2024,@matunique67 @Solisidtor @farhanzulkefly Subsidi minyak masak hilang rakyat terpaksa beli myk yg 5 kg harga mencecah rm50 yg peket hilang terus sekali dgn telur. Dia punya sembg kenapa kibar bendera putih kebarlah bendera biru. Blh dia buat persenda masa rakyat tengah susah.,,matunique67 solisidtor farhanzulkefly Subsidy Cooking Oil Loss People have to buy a 5 kg price of RM50 which is lost once with eggsHe ha a chance why the white flag is the first blue flagHe can make the people in the middle of the day difficult,-0.4019,Negative
Wed Oct 23 04:01:07 +0000 2024,@Solisidtor @NapiahKecik @farhanzulkefly Kenapa masa tu puak menteri blh jamu durian masa pkp? Blh mkm sedap2 kenapa masa tu projek janawibaw utk bumi putra dapat ke bangsa lain kenapa masa tu kuota judi blh d naikkan dan arak jenama timah d luluskan? Kenapa masa tu subsidi minyak masak blh hilang?,,Solisidtor napiahkecik farhanzulkefly why is the minister of the minister the durian time of the pkpCan MKM delicious why is it that time for the Janawibaw project for the Earth Putra to go to other nation why is it that the gambling quota can raise and the tin brand is approvedWhy is it that the cooking oil subsidy can be lost,0.34,Positive
Wed Oct 23 02:43:19 +0000 2024,Masak asin tongkol malah ditembakin minyak panas. Untung ada tutup panci sebagai tameng. Alhamdulillah,,Cooking salted cufflink and even hot oilFortunately there is a pink cover a a tamengThank God,0.2732,Positive
Wed Oct 23 02:37:32 +0000 2024,@Solisidtor @farhanzulkefly Ayam teloq minyak masak segala anjing mahai. Dgn face mask sekotak pernah cecah berpuluh. Buto dok buat pala terpaling merasa bantuan. Statistik epf dah keluarkan melayu paling kritikal untuk simpanan hari tua.,"Langkawi, Kedah",Solisidtor farhanzulkefly Chicken Teloq Cooking Oil All DogsWith a face mask of a box ha reached tensButo dock for Pala to feel helpEPF statistic have released the most critical Malay for old fashioned saving,0.0534,Positive
Wed Oct 23 02:18:52 +0000 2024,Nyadar kenapa selama ini prefer ngojek makanan daripada masak soalnya tiap semangat masak ada aja kejadiannya. Kali ini numpahin minyak segelas Ini durasi masak plus makannya kalah lama sama beberesnya Untung hasilnya enak kalo nggak bakal mangkel seharian https://t.co/xNRnVhuscJ,❄️,Nyadar why the food NGO ha always been to cook for every cooking spiritThis time this glass of oil is cooking and eating it for a long time losing a long time it is good to be good when it come to it all day,0.6808,Positive
Wed Oct 23 02:03:36 +0000 2024,Tular video pekerja warga asing selamba sorokkan minyak masak buat tak tahu bila ditegur https://t.co/1NAsiwo8l5,Kuala Lumpur,Video of foreign worker a long a the cooking oil is not known when reprimanded,0.0,Neutral
